# Histogram data for LaTeX/PGFPlots
# Generated from: case3d Reconstruction Error Histogram
# Total samples: 3802693632
# Mean: 8.363393e-03, Std: 1.031792e-02
# Bin_center Density
1.038388e-01 3.758668e-02
1.042185e-01 3.736434e-02
1.045982e-01 3.478912e-02
1.049778e-01 3.640712e-02
1.053575e-01 3.627136e-02
1.057372e-01 3.545959e-02
1.061168e-01 3.517630e-02
1.064965e-01 3.303951e-02
1.068762e-01 3.442479e-02
1.072558e-01 3.398566e-02
1.076355e-01 3.365111e-02
1.080152e-01 3.315380e-02
1.083948e-01 3.117424e-02
1.087745e-01 3.256021e-02
1.091542e-01 3.213354e-02
1.095338e-01 3.164246e-02
1.099135e-01 3.140212e-02
1.102932e-01 2.924386e-02
1.106728e-01 3.024680e-02
1.110525e-01 3.015260e-02
1.114322e-01 2.960749e-02
1.118118e-01 2.945858e-02
1.121915e-01 2.727469e-02
1.125712e-01 2.855953e-02
1.129508e-01 2.815988e-02
1.133305e-01 2.770205e-02
1.137102e-01 2.660032e+00
